PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
52471;"Oficina de Turismo de Malta";"";"";"";"Metro: Nuevos Ministerios (línea 6, 8 y 10)  Renfe: Nuevos Ministerios";"Localizada en la Embajada de Malta";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f8f6e7510551c010VgnVCM2000000c205a0aRCRD";"CARBONERO Y SOL";"CALLE";"V";"1";"2.º";"IZQUIERDA";"";"";"MADRID";"MADRID";"28006";"1";"EL VISO";"5";"CHAMARTIN";"441439";"4477382";"40.445035071241655";"-3.690549047125382";"913 913 061";"";"maltaembassy.madrid@gov.mt";"/contenido/entidadesYorganismos/OficinasTurismo"
7826;"Oficina de Turismo de Perú";"";"";"";"Metro: Lista (línea 4), Diego de León (línea 4, 5, 9), Núñez de Balboa (línea 5, 9)";"Portal Oficial de Turismo del Perú";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b4ed19d41471c010VgnVCM1000000b205a0aRCRD";"MARQUÉS DE SALAMANCA";"PLAZA";"V";"10";"BAJO IZQUIERDA";"";"";"";"MADRID";"MADRID";"28006";"5";"LISTA";"4";"SALAMANCA";"442381";"4475670";"40.429681612294374";"-3.679285350795378";"911 937 511 y whatsapp 24 horas de atención al cliente: +51 944 492 314";"";"info@oficinacomercialdeperu.es";"/contenido/entidadesYorganismos/OficinasTurismo"
7835;"Oficina de Turismo de Polonia";"";"";"";"Metro: Plaza de España (líneas 3, 10), Ventura Rodríguez (línea 3), Noviciado (línea 2)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=47fd19d41471c010VgnVCM1000000b205a0aRCRD";"PRINCESA";"CALLE";"V";"3";"";"local 1310";"";"";"MADRID";"MADRID";"28008";"2";"ARGUELLES";"9";"MONCLOA-ARAVACA";"439529";"4475145";"40.42474343764168";"-3.7128566472819906";"915 414 808";"";"info.es@polonia.travel";"/contenido/entidadesYorganismos/OficinasTurismo"
5405234;"Oficina de Turismo de Portugal";"";"";"";"Metro: Núñez de Balboa (líneas 5, 9), Serrano (línea 4), Velázquez (línea 4)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f3ad9a4aca553210VgnVCM2000000c205a0aRCRD";"LAGASCA";"CALLE";"V";"88";"4ª";"B";"";"";"MADRID";"MADRID";"28001";"6";"CASTELLANA";"4";"SALAMANCA";"441918";"4475700";"40.429919325594405";"-3.6847431067997025";"917 617 230";"";"info.espanha@turismodeportugal.pt";"/contenido/entidadesYorganismos/OficinasTurismo"
181856;"Oficina de Turismo de República Checa";"";"";"";"Metro: Pío XII (línea 9), Duque de Pastrana (línea 9)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c9980e4e6d41c010VgnVCM2000000c205a0aRCRD";"PIO XII";"AVENIDA";"V";"22";"";"";"";"";"MADRID";"MADRID";"28016";"5";"NUEVA ESPAÑA";"5";"CHAMARTIN";"442782";"4479721";"40.46619994041604";"-3.674921439191856";"913 592 527";"";"madrid@czechtourism.com";"/contenido/entidadesYorganismos/OficinasTurismo"
7829;"Oficina de Turismo de República Dominicana";"";"";"";"Metro: Banco España (línea 2)  Renfe: Recoletos";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6c1e19d41471c010VgnVCM1000000b205a0aRCRD";"ALCALA";"CALLE";"V";"59";"4º";"";"";"";"MADRID";"MADRID";"28014";"1";"RECOLETOS";"4";"SALAMANCA";"441346";"4474585";"40.41983515973237";"-3.6913871919698398";"914 177 375";"";"espana@mitur.gob.do";"/contenido/entidadesYorganismos/OficinasTurismo"
7832;"Oficina de Turismo de Turquía";"";"";"";"Metro: Retiro (línea 2), Banco de España (línea 2), Estación del Arte (Atocha) (línea 1)  Renfe: Atocha (C1, C2, C3, C4, C5, C7, C10)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a66e19d41471c010VgnVCM1000000b205a0aRCRD";"ANTONIO MAURA";"CALLE";"V";"18";"2.º";"D";"";"";"MADRID";"MADRID";"28014";"5";"LOS JERONIMOS";"3";"RETIRO";"441480";"4474203";"40.41640236621119";"-3.6897711925342342";"915 597 014 / 915 597 114";"";"turquia@ktb.gov.tr";"/contenido/entidadesYorganismos/OficinasTurismo"
7841;"Oficina de Turismo de Túnez";"";"";"";"Metro: San Bernardo (líneas 2, 4),  Quevedo (línea 2)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=145e19d41471c010VgnVCM1000000b205a0aRCRD";"RODRIGUEZ SAN PEDRO";"CALLE";"V";"2";"";"Oficina 1108";"";"";"MADRID";"MADRID";"28015";"2";"ARAPILES";"7";"CHAMBERI";"440158";"4475899";"40.43158083851068";"-3.7055131033895483";"915 481 435";"915 483 705";"info.madrid@discovertunisia.com";"/contenido/entidadesYorganismos/OficinasTurismo"
5405423;"Oficina de Turismo de Venezuela";"";"";"";"Metro: Iglesia (línea 1)";"Localizada en la Embajada de Venezuela";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2457116bb1653210VgnVCM2000000c205a0aRCRD";"ELOY GONZALO";"CALLE";"V";"40";"13";"";"";"";"MADRID";"MADRID";"28010";"3";"TRAFALGAR";"7";"CHAMBERI";"440705";"4476241";"40.43470677362925";"-3.6990941188479263";"915 558 452";"";"conve.esmdr@mppre.gob.ve";"/contenido/entidadesYorganismos/OficinasTurismo"
190857;"Oficina de Turismo de la Comunidad de Madrid. Aeropuerto Adolfo Suárez Madrid Barajas (T4) - (T1)";"";"T4: de lunes a sábado, de 8 a 20 horas. Domingos y festivos, de 9 a 14 horas.  T1: de lunes a sábado, de 8 a 15:30 horas. Domingos y festivos, de 9 a 14 horas Cerradas los días 1 de enero, 1 de mayo y 25 de diciembre.";"";"Metro: Línea 8 - estación Aeropuerto T-4.";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=28aa8f79e9c70110VgnVCM1000000b205a0aRCRD";"HISPANIDAD";"AVENIDA";"V";"2";"";"";"";"Terminal 4";"MADRID";"MADRID";"28042";"2";"AEROPUERTO";"21";"BARAJAS";"450312";"4478080";"40.45189718117108";"-3.585970196635729";"913 338 247";"";"turismo@madrid.org";"/contenido/entidadesYorganismos/OficinasTurismo"
68611;"Oficina de Turismo de la Comunidad de Madrid. Estación de Atocha";"";"De lunes a viernes, de 8 a 20 horas. Sábados, de 8 a 15:30 horas. Domingos y festivos, de 9 a 14 horas. Cerrado: 1 enero, 1 mayo y 25 diciembre.";"";"Metro: Estación del Arte (Atocha) (línea 1)  Renfe: Atocha (C1, C2, C3, C4, C5, C7, C10)";"";"3";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3f1f96e2cf41c010VgnVCM2000000c205a0aRCRD";"EMPERADOR CARLOS V";"PLAZA";"V";"3";"";"";"";"";"MADRID";"MADRID";"28045";"7";"ATOCHA";"2";"ARGANZUELA";"441296";"4473237";"40.40768324646422";"-3.691848204232547";"915 284 630";"";"turismo@madrid.org";"/contenido/entidadesYorganismos/OficinasTurismo"
5631196;"Punto de Información Turística Aeropuerto Adolfo Suárez Madrid -  Barajas Terminal 2 (Entre salas 5 y 6)";"";"Lunes a domingo, de 8 a 20 horas,   Horarios especiales Navidad:  - 24 diciembre: Apertura en su horario habitual / Cierre al público a las 17:00 horas- 25 diciembre: Apertura a las 11:00 hrs / Cierre a la hora habitual- 31 diciembre: Apertura en su horario habitual / Cierre al público a las 17:00 horas- 1 enero: Apertura a las 11:00 hrs / Cierre a la hora habitual";"Atención presencial en varios idiomas Servicio de atención no presencial (teléfono 915 787 810 y email turismo@esmadrid.com) Atención por WhatsApp 619 111 094 Autoconsulta con folletos descargables mediante código QR Audiovisuales  Acceso adaptado Lengua de signos en remoto Blucle magnético Servicio MAULSE: Servicio de interpretación de Lengua de Signos Española en remoto Guía de Turismo Accesible  También disponen de un Mapa Accesible de Madrid en braille y con un QR descargable en los dispositivos móviles para personas con discapacidad visual con toda la información turística. Además, los informadores turísticos han recibido formación específica para la atención a personas con discapacidad .";"Metro: Aeropuerto T2 (línea 8)";"";"1,4,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=88dfad2e06ea7210VgnVCM2000000c205a0aRCRD";"HISPANIDAD";"AVENIDA";"V";"1";"";"";"";"Aeropuerto de Barajas. Salas 5 y 6";"MADRID";"MADRID";"28042";"2";"AEROPUERTO";"21";"BARAJAS";"450312";"4478080";"40.45188738242834";"-3.5859807207200376";"915 787 810";"";"turismo@esmadrid.com";"/contenido/entidadesYorganismos/OficinasTurismo"
178759;"Punto de Información Turística Aeropuerto Adolfo Suárez Madrid - Barajas Terminal 4 (Sala 10)";"";"Lunes a domingo, de 8 a 20 horas.   Horarios especiales Navidad:  - 24 diciembre: Apertura en su horario habitual / Cierre al público a las 17:00 horas - 25 diciembre: Apertura a las 11:00 hrs / Cierre a la hora habitual - 31 diciembre: Apertura en su horario habitual / Cierre al público a las 17:00 horas - 1 enero: Apertura a las 11:00 hrs / Cierre a la hora habitual";"Atención presencial en varios idiomas Servicio de atención no presencial (teléfono 915 787 810 y e-mail turismo@esmadrid.com) Atención por WhatsApp 619 111 094 Autoconsulta con folletos descargables mediante código QR Audiovisuales Acceso adaptado  Bucle magnético Mostrador accesible. Servicio MAULSE: Servicio de interpretación de Lengua de Signos Española en remoto Guía de Turismo Accesible  También disponen de un Mapa Accesible de Madrid en braille y con un QR descargable en los dispositivos móviles para personas con discapacidad visual con toda la información turística. Además, los informadores turísticos han recibido formación específica para la atención a personas con discapacidad.";"Metro: Aeropuerto T 4 (línea 8)  Renfe: Aeropuerto T 4";"";"1,4,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8f871c7a2c61c010VgnVCM1000000b205a0aRCRD";"HISPANIDAD";"AVENIDA";"V";"0";"";"";"";"Aeropuerto de Barajas. Salas 10";"MADRID";"MADRID";"28042";"2";"AEROPUERTO";"21";"BARAJAS";"450312";"4478080";"40.45188738242834";"-3.5859807207200376";"915 787 810";"";"turismo@esmadrid.com";"/contenido/entidadesYorganismos/OficinasTurismo"
11050930;"Punto de Información Turística Palacio Real";"";"Abierto durante todo el año ofrece todo lo que el visitante necesita para disfrutar de su estancia. Todos los días del año de 9 a 20 horas.  Horarios especiales Navidad:  - 24 diciembre: Apertura en su horario habitual / Cierre al público a las 17:00 horas- 25 diciembre: Apertura a las 11:00 hrs / Cierre a la hora habitual- 31 diciembre: Apertura en su horario habitual / Cierre al público a las 17:00 horas- 1 enero: Apertura a las 11:00 hrs / Cierre a la hora habitual";"Atención presencial en varios idiomas Servicio de atención no presencial (teléfono 915 787 810, de 9:30 a 20:30 horas y email turismo@esmadrid.com) Atención por WhatsApp 619 111 094, de 9:30 a 20:30 horas Autoconsulta con folletos descargables mediante código QR Audiovisuales Guía de Turismo Accesible WIFI gratuita Bucle magnético Servicio de Atenci&amp;ccedil;on en Lengua de Signos Española en remoto.  También disponen de un Mapa Accesible de Madrid en braille y con un QR descargable en los dispositivos móviles para personas con discapacidad visual con toda la información turística. Además,  los informadores turísticos han recibido formación específica para la atención a personas con discapacidad.";"Metro: Ópera (líneas 2, 5, R) Plaza de España (L2, L3, L10)";"";"1,4,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=81d3b801a201e610VgnVCM2000001f4a900aRCRD";"BAILEN";"CALLE";"V";"0";"";"";"";"semiesquina calle Requena, frente Palacio Real";"MADRID";"MADRID";"28013";"1";"PALACIO";"1";"CENTRO";"439580";"4474285";"40.41700064452497";"-3.7121662397143345";"915 787 810";"";"turismo@esmadrid.com";"/contenido/entidadesYorganismos/OficinasTurismo"
10085167;"Punto de Información Turística Reina Sofía";"Punto de Información Turística cofinanciado por el Fondo Europeo de Desarrollo Regional.";"Abierto durante todo el año ofrece todo lo que el visitante necesita para disfrutar de su estancia. Todos los días del año de 10 a 18 horas.  Horarios especiales Navidad:  - 24 diciembre: Apertura en su horario habitual / Cierre al público a las 17:00 horas - 25 diciembre: Apertura a las 11:00 hrs / Cierre a la hora habitual - 31 diciembre: Apertura en su horario habitual / Cierre al público a las 17:00 horas - 1 enero: Apertura a las 11:00 hrs / Cierre a la hora habitual";"Atención presencial en varios idiomas Servicio de atención no presencial (teléfono 915 787 810 y email turismo@esmadrid.com) Atención por WhatsApp 619 111 094 Audiovisuales Autoconsulta con folletos descargables mediante código QR WIFI Gratuita Bucle magnético  Mostrador adaptado Servicio MAULSE: Servicio de interpretación de Lengua de Signos Española en remoto Guía de Turismo Accesible  También disponen de un Mapa Accesible de Madrid en braille y con un QR descargable en los dispositivos móviles para personas con discapacidad visual con toda la información turística. Además, los informadores turísticos han recibido formación específica para la atención a personas con discapacidad.";"Metro: Atocha (L1), Estación del Arte (L1)  Renfe: Madrid- Atocha";"";"1,4,6";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8321a9a7e3525510VgnVCM2000001f4a900aRCRD";"SANTA ISABEL";"CALLE";"V";"52";"";"";"";"";"MADRID";"MADRID";"28012";"2";"EMBAJADORES";"1";"CENTRO";"441118";"4473345";"40.40864029339671";"-3.6939504103293244";"915 787 810";"";"turismo@esmadrid.com";"/contenido/entidadesYorganismos/OficinasTurismo"
